transaction_id,description,amount,date,category
7839,Flat Rent CARD TXN9420 30501 NEFT,3031.42,2024-05-23,Rent
7684,RENT PAYMENT POS TXN7033,1084.26,2024-09-09,Rent
7936,PG FEE CARD TXN1689,4171.49,2024-09-09,Rent
6735,College Fee POS TXN6777 92189 TRANS,1257.21,2024-08-08,Education
6132,IRCTC CARD TXN9325 71166,1787.75,2024-02-20,Travel
357,KFC IMPS TXN1630,499.9,2024-10-03,Food & Dining
8139,PolicyBazaar UPI TXN9146 56558,2479.03,2024-09-24,Insurance
5929,OLA CARD TXN3767 POS,1856.37,2024-08-13,Travel
2435,AMAZON IMPS TXN1710 37778 UPI,3605.46,2024-01-23,Shopping
5907,uber pos txn5003 55488 POS,2292.1,2024-05-22,Travel
1273,BIG BAZAAR IMPS TXN1820 61329 TXN,1743.79,2024-02-10,Groceries
5306,apollo pharmacy card txn9061,2657.32,2024-10-09,Healthcare
7050,Udemy NEFT TXN9992 86933,1836.83,2024-07-17,Education
948,nature's basket neft txn5670 80699 NEFT,3609.06,2024-05-03,Groceries
1192,More Supermarket POS TXN9418,4399.18,2024-01-03,Groceries
6546,college fee pos txn5847,1549.81,2024-04-29,Education
108,cafe cofe day neft txn2047,3789.19,2024-08-30,Food & Dining
5578,MedPlus POS TXN8530 AUTH,3116.77,2024-04-16,Healthcare
90,kfc upi txn2958,1208.21,2024-08-03,Food & Dining
6441,UNACADEMY IMPS TXN7988 86783,3794.51,2024-06-21,Education
6476,college fee neft txn4046 26171,2426.18,2024-03-14,Education
8299,PolicyBazaar POS TXN1288 POS,3644.99,2024-10-13,Insurance
8743,BAJAJ ALLIANZ NEFT TXN5496 TXN,464.8,2024-09-10,Insurance
7079,college fee upi txn6183,4780.52,2024-08-20,Education
2710,Myntra UPI TXN2081 85585,4085.06,2024-05-16,Shopping
2728,Myntra IMPS TXN6213 84719,1263.18,2024-04-23,Shopping
1521,big bazaar pos txn3097 62027 IMPS,2415.36,2024-08-16,Groceries
4996,Fortis Hospital POS TXN8067 59667 NEFT,4496.01,2024-08-17,Healthcare
3783,spotify imps txn2649 32765 TRANS,4220.1,2024-04-04,Entertainment
4533,WATER BILL IMPS TXN9577 32608,3023.59,2024-09-11,Bills & Utilities
3066,NYKAA CARD TXN4642 13254 IMPS,3251.71,2024-09-26,Shopping
5550,Apollo Pharmacy UPI TXN1176 78341,4396.97,2024-05-07,Healthcare
8948,upi to friend card txn9910 75267 TXN,3599.92,2024-01-14,Transfers
1284,BIG BAZAAR POS TXN8320,4968.63,2024-02-08,Groceries
1243,nature's basket card txn6238 AUTH,1447.41,2024-02-17,Groceries
4787,TATA POWER NEFT TXN7599 IMPS,3115.15,2024-10-22,Bills & Utilities
4117,Airtel NEFT TXN3742 96433,2565.75,2024-01-16,Bills & Utilities
3434,BookMyShow UPI TXN6577 POS,3978.02,2024-10-10,Entertainment
4916,1mg UPI TXN8291 67690,1257.56,2024-04-14,Healthcare
6391,REDBUS CARD TXN2457,2026.64,2024-09-20,Travel
6908,college fee card txn1123,3505.3,2024-10-02,Education
6758,byjus imps txn8123 IMPS,904.76,2024-04-30,Education
4891,CureFit UPI TXN5333 AUTH,1795.91,2024-01-01,Healthcare
8027,PolicyBazaar UPI TXN6227 AUTH,4710.05,2024-09-27,Insurance
117,strabucks upi txn7520 87506,2689.88,2024-07-25,Food & Dining
4983,fortis hospital pos txn8915,2126.22,2024-08-08,Healthcare
9202,money sent pos txn7917 38558 TRANS,652.33,2024-01-30,Transfers
1227,DMART CARD TXN8111 93104,3082.01,2024-07-15,Groceries
6737,coursera neft txn6621 50005 IMPS,4525.68,2024-10-14,Education
386,Dominos POS TXN5928 TRANS,4646.53,2024-08-23,Food & Dining
3931,Netflix CARD TXN7858 POS,3110.59,2024-09-13,Entertainment
4652,water bill pos txn9331 18726 UPI,4709.22,2024-01-21,Bills & Utilities
918,MORE SUPERMARKET IMPS TXN4261,2529.02,2024-02-18,Groceries
6663,school fee pos txn2005 45334,410.03,2024-04-29,Education
2538,nykaa upi txn2388,369.87,2024-07-20,Shopping
8815,UPI TO FRIEND CARD TXN3907,1612.78,2024-10-13,Transfers
1398,more supermarket pos txn8189,784.07,2024-02-06,Groceries
1590,Spencer's UPI TXN8328,2793.89,2024-01-30,Groceries
485,Dominos NEFT TXN4807,3870.48,2024-05-22,Food & Dining
1244,RELIANCE FRESH CARD TXN4468,4418.65,2024-05-02,Groceries
6204,Uber NEFT TXN2429 41790,1747.11,2024-05-27,Travel
8681,HDFC Life POS TXN6361,4484.16,2024-02-09,Insurance
4664,WATER BILL IMPS TXN2118 36097,1389.52,2024-10-16,Bills & Utilities
9435,UPI TO FRIEND NEFT TXN7388 75705,2260.08,2024-08-26,Transfers
1027,Nature's Basket UPI TXN6340,4702.97,2024-10-27,Groceries
9555,Account Transfer POS TXN2784 49706,343.62,2024-03-15,Transfers
3617,SPOTIFY UPI TXN4067 44647,3604.51,2024-04-22,Entertainment
7220,PG FEE POS TXN6897 TXN,2641.06,2024-08-12,Rent
2983,NYKAA POS TXN8930 13522 IMPS,1474.98,2024-07-21,Shopping
1198,dmart pos txn7561 IMPS,2777.56,2024-09-20,Groceries
9240,Account Transfer UPI TXN1522 54281 POS,3562.6,2024-02-09,Transfers
245,Dominos UPI TXN8894,4083.02,2024-04-02,Food & Dining
545,KFC POS TXN9314 89573,1653.03,2024-04-10,Food & Dining
218,Subway IMPS TXN4653,4698.32,2024-02-06,Food & Dining
1637,HP GAS POS TXN5098 69860 AUTH,3497.83,2024-07-02,Fuel
1598,Reliance Fresh CARD TXN3649 34474,4150.46,2024-07-06,Groceries
6472,byjus neft txn8515 10736 IMPS,2502.46,2024-05-14,Education
114,ZOMATO IMPS TXN2818 POS,4929.0,2024-06-10,Food & Dining
7724,RENT PAYMENT CARD TXN4595 AUTH,1293.2,2024-06-17,Rent
8839,IMPS IMPS TXN5331 79522 TRANS,4692.03,2024-01-26,Transfers
5836,Uber NEFT TXN9558,3677.47,2024-02-11,Travel
5633,IndiGo UPI TXN3477 33851,3604.1,2024-08-13,Travel
2694,AJIO UPI TXN5853 66874 IMPS,4600.07,2024-07-30,Shopping
3437,netflixx card txn5342 49452 auth,924.74,2024-08-12,Entertainment
3992,netflixx upi txn1329 18584 auth,1708.53,2024-09-26,Entertainment
1475,nature's basket imps txn7226 34694 NEFT,1299.25,2024-03-07,Groceries
8939,account transfer neft txn6390 83371 UPI,2919.29,2024-03-18,Transfers
3033,Amazon IMPS TXN1354,2123.26,2024-05-30,Shopping
6588,COLLEGE FEE POS TXN4133 22060 UPI,4598.87,2024-03-31,Education
3785,Netflix NEFT TXN8729,4522.94,2024-10-23,Entertainment
5417,1mg card txn9441 80436,1979.39,2024-09-14,Healthcare
9231,UPI to Friend IMPS TXN1797,4068.78,2024-04-28,Transfers
6106,MAKEMYTRIP CARD TXN5998 POS,667.36,2024-06-12,Travel
8509,HDFC Life NEFT TXN9396 UPI,327.15,2024-03-09,Insurance
1478,Nature's Basket NEFT TXN1972 37578 AUTH,2999.08,2024-03-30,Groceries
753,Cafe Coffee Day CARD TXN5924 TRANS,2460.56,2024-10-25,Food & Dining
1003,BIG BAZAAR NEFT TXN8824 AUTH,319.46,2024-02-17,Groceries
4241,AIRTEL UPI TXN2169 25692 TRANS,4577.37,2024-07-19,Bills & Utilities
6567,COURSERA CARD TXN2614,2665.36,2024-09-19,Education
2797,Amazon IMPS TXN3854,1749.54,2024-09-18,Shopping
3089,NYKAA IMPS TXN7091,77.91,2024-05-28,Shopping
5041,MEDPLUS IMPS TXN4632 18562,3347.85,2024-04-10,Healthcare
3329,PVR CINEMAS POS TXN8747 NEFT,1504.85,2024-03-20,Entertainment
970,spencer's neft txn1458,2497.09,2024-03-08,Groceries
5337,1MG NEFT TXN9261 76683 POS,1425.53,2024-05-24,Healthcare
4997,apollo pharmacy neft txn9929,3182.26,2024-04-04,Healthcare
1183,SPENCER'S NEFT TXN5413 86579,4858.95,2024-01-05,Groceries
5580,1mg CARD TXN7331,3744.88,2024-03-02,Healthcare
4399,AIRTEL UPI TXN7589 63279,4304.75,2024-06-22,Bills & Utilities
2292,BPCL CARD TXN3378 92996,3258.27,2024-06-18,Fuel
4391,Airtel POS TXN7392 34288,3304.83,2024-04-05,Bills & Utilities
2575,nykaa neft txn9016 84756 IMPS,2738.14,2024-01-05,Shopping
8030,LIC POS TXN1006 30898,4090.6,2024-06-16,Insurance
2225,Shell UPI TXN4866,3511.04,2024-01-27,Fuel
9199,UPI to Friend CARD TXN1775,765.44,2024-05-07,Transfers
1038,NATURE'S BASKET IMPS TXN9954 79697 POS,3236.94,2024-02-19,Groceries
2776,Nykaa UPI TXN6899 13125 IMPS,1172.71,2024-05-15,Shopping
8168,POLICYBAZAAR UPI TXN7824 46433,1622.85,2024-06-17,Insurance
5301,FORTIS HOSPITAL POS TXN5182 NEFT,4544.78,2024-05-20,Healthcare
7522,landlord pos txn9186,4246.2,2024-06-16,Rent
897,DMART IMPS TXN4980,2822.82,2024-07-15,Groceries
4562,electricity board upi txn9117 97151,2823.11,2024-03-02,Bills & Utilities
7375,RENT PAYMENT POS TXN8264 88607,588.32,2024-09-03,Rent
4314,Airtel CARD TXN1890,983.19,2024-08-30,Bills & Utilities
7181,Unacademy POS TXN8367,4450.65,2024-02-08,Education
2802,Flipkart UPI TXN4788,4706.85,2024-01-29,Shopping
8731,LIC POS TXN8227 94194,1054.31,2024-02-23,Insurance
2408,Flipkart IMPS TXN2765 63156 NEFT,1322.09,2024-01-20,Shopping
1809,iocl pump imps txn8716 52026,562.76,2024-03-23,Fuel
5341,APOLLO PHARMACY NEFT TXN5635 76395,2825.27,2024-04-03,Healthcare
7338,PG FEE POS TXN4125 89233 UPI,734.05,2024-08-08,Rent
926,DMart NEFT TXN3191 11029,1780.92,2024-06-15,Groceries
9057,MONEY SENT CARD TXN1707 87726,2201.0,2024-05-29,Transfers
6389,Ola IMPS TXN7056 28874,3294.82,2024-05-29,Travel
8701,ICICI Prudential POS TXN9680 UPI,2527.01,2024-08-28,Insurance
2515,FLIPKART UPI TXN2742 12401 POS,4387.08,2024-09-19,Shopping
2501,Zara NEFT TXN7204 29910,2160.52,2024-05-05,Shopping
9215,IMPS CARD TXN7798 NEFT,602.23,2024-09-16,Transfers
1060,More Supermarket UPI TXN1309 POS,4087.25,2024-08-24,Groceries
8825,account transfer upi txn8715,4552.36,2024-03-19,Transfers
880,MORE SUPERMARKET POS TXN7762 IMPS,1072.45,2024-01-29,Groceries
2508,H&M IMPS TXN4712 39369,3541.09,2024-03-13,Shopping
7289,RENT PAYMENT UPI TXN9869 34966,4258.75,2024-10-27,Rent
2536,ajio imps txn4608,1535.63,2024-08-04,Shopping
481,STARBUCKS POS TXN8936 85901,2195.73,2024-02-27,Food & Dining
8085,HDFC LIFE POS TXN2207 21205,1963.35,2024-02-23,Insurance
9328,upi to friend neft txn7255 39396 NEFT,1144.95,2024-05-21,Transfers
177,cafe coffee day upi txn3451,2000.43,2024-06-12,Food & Dining
172,Zomato NEFT TXN3085 40142 UPI,2666.59,2024-01-11,Food & Dining
8465,LIC CARD TXN5001 17204 IMPS,524.78,2024-08-13,Insurance
8536,PolicyBazaar NEFT TXN8614,1064.18,2024-03-12,Insurance
1441,More Supermarket IMPS TXN4460 81543,4603.83,2024-06-13,Groceries
8426,ICICI Prudential CARD TXN7693 31510 AUTH,4006.82,2024-01-03,Insurance
1623,Shell CARD TXN8175 72882 TRANS,3899.62,2024-05-30,Fuel
5068,Apollo Pharmacy POS TXN6462,1631.91,2024-10-12,Healthcare
2062,Shell CARD TXN1084 TRANS,2704.65,2024-07-26,Fuel
7795,PG FEE CARD TXN7730,1509.85,2024-10-07,Rent
3298,Netflix CARD TXN8288 71453 IMPS,2527.11,2024-06-17,Entertainment
2227,BPCL IMPS TXN2098,1342.35,2024-03-02,Fuel
7043,Unacademy NEFT TXN2296 39223 TRANS,4717.97,2024-10-02,Education
8021,HDFC LIFE IMPS TXN8371 46276,112.81,2024-04-01,Insurance
1681,IndianOil IMPS TXN3969,2581.41,2024-08-01,Fuel
1508,spencer's pos txn8546,721.19,2024-09-30,Groceries
4417,BSNL BILL IMPS TXN3016,1810.34,2024-08-12,Bills & Utilities
8660,ICICI Prudential NEFT TXN9474,3477.6,2024-07-05,Insurance
7850,Flat Rent POS TXN2293 47866,3185.15,2024-02-25,Rent
9553,money sent pos txn4140,64.79,2024-01-05,Transfers
2693,Nykaa UPI TXN3149 28606 TRANS,221.2,2024-06-14,Shopping
4903,CureFit POS TXN5727,112.4,2024-01-22,Healthcare
6061,MakeMyTrip NEFT TXN1508 82584,1602.57,2024-03-02,Travel
3787,Netflix UPI TXN1015,1226.39,2024-01-05,Entertainment
3496,BOOKMYSHOW POS TXN9252,915.7,2024-01-31,Entertainment
7030,Unacademy CARD TXN2628 TRANS,1432.84,2024-01-15,Education
9534,Money Sent UPI TXN4233,3473.01,2024-03-30,Transfers
3122,H&M NEFT TXN3392 39504,285.33,2024-02-22,Shopping
6377,Ola IMPS TXN5890,1839.22,2024-08-17,Travel
4926,Apollo Pharmacy CARD TXN6706 72516,565.97,2024-01-09,Healthcare
8087,Bajaj Allianz IMPS TXN9843,3987.33,2024-06-03,Insurance
3034,Ajio NEFT TXN7841 38339,3587.86,2024-07-29,Shopping
4281,AIRTEL IMPS TXN1556 12089 POS,4811.92,2024-09-09,Bills & Utilities
9059,upi to friend neft txn3070 24113 POS,699.04,2024-05-28,Transfers
4075,Airtel IMPS TXN3050 10645,3721.85,2024-07-28,Bills & Utilities
7047,School Fee CARD TXN8982 IMPS,2432.65,2024-03-03,Education
2492,Amazon IMPS TXN5860,993.32,2024-07-13,Shopping
1155,DMART NEFT TXN8563,2091.43,2024-06-09,Groceries
561,Cafe Coffee Day POS TXN3986 85475,1517.16,2024-02-04,Food & Dining
2997,Myntra POS TXN6964 11800 TXN,905.16,2024-04-08,Shopping
4604,PAYTM RECHARGE IMPS TXN7182 86162,3450.3,2024-04-10,Bills & Utilities
7541,RENT PAYMENT POS TXN9790,1080.33,2024-05-21,Rent
807,BIG BAZAAR CARD TXN4891,1034.56,2024-07-15,Groceries
112,KFC UPI TXN9215 59054 TRANS,917.76,2024-03-16,Food & Dining
1274,More Supermarket NEFT TXN5299 71908,594.41,2024-03-25,Groceries
5780,makemytrip card txn7478 39952 TXN,2485.84,2024-10-06,Travel
7791,Landlord IMPS TXN9534 52677,3596.21,2024-08-17,Rent
7300,pg fee upi txn7791 77573 IMPS,1925.28,2024-04-27,Rent
39,subway upi txn3719 IMPS,2234.9,2024-04-14,Food & Dining
6008,UBER IMPS TXN7693 89846 AUTH,1399.82,2024-02-02,Travel
1114,Big Bazaar IMPS TXN8960 49308,897.45,2024-02-08,Groceries
3029,H&M UPI TXN3220 96690 POS,658.42,2024-10-10,Shopping
5568,1MG CARD TXN1526 58114 TXN,2282.62,2024-08-16,Healthcare
8018,ICICI PRUDENTIAL IMPS TXN8644 TRANS,2218.57,2024-01-05,Insurance
8741,hdfc life neft txn1203 60417 IMPS,2507.43,2024-04-08,Insurance
6660,COLLEGE FEE IMPS TXN1027,55.41,2024-08-18,Education
7696,RENT PAYMENT NEFT TXN4485,4736.34,2024-08-15,Rent
3707,netflixx card txn2225 upi,4017.57,2024-08-16,Entertainment
7135,college fee pos txn6301 87783 TXN,2829.08,2024-04-08,Education
641,Starbucks POS TXN5486 UPI,3491.02,2024-02-23,Food & Dining
5623,IRCTC NEFT TXN4101 UPI,395.87,2024-09-21,Travel
4375,electricity board pos txn5325,1612.26,2024-04-01,Bills & Utilities
6409,udemy upi txn9555,2856.4,2024-01-07,Education
2510,myntra imps txn8580 47421,1623.87,2024-06-27,Shopping
5685,MakeMyTrip NEFT TXN8711 79106 TXN,4203.16,2024-02-21,Travel
371,Subway UPI TXN4655 74112 POS,2312.43,2024-08-10,Food & Dining
276,strabucks upi txn6988 75917,4778.02,2024-01-14,Food & Dining
8865,UPI TO FRIEND POS TXN4895 63317 POS,3665.12,2024-08-28,Transfers
734,Dominos CARD TXN4178 13487,1617.81,2024-08-13,Food & Dining
812,BIG BAZAAR NEFT TXN6254,75.91,2024-02-18,Groceries
1949,BPCL NEFT TXN8043,1739.08,2024-08-20,Fuel
5581,1MG UPI TXN8376 NEFT,3703.68,2024-03-31,Healthcare
2516,MYNTRA UPI TXN3754,2131.81,2024-10-27,Shopping
3485,HOTSTAR POS TXN2142 30684 POS,4314.77,2024-04-18,Entertainment
3838,PVR CINEMAS POS TXN4677,3159.11,2024-01-31,Entertainment
8037,Bajaj Allianz IMPS TXN4117 40484 UPI,70.57,2024-06-27,Insurance
6506,Udemy NEFT TXN4811,3481.7,2024-06-30,Education
655,subway pos txn8383 76961,1013.46,2024-06-27,Food & Dining
719,ZOMATO CARD TXN7366 61630,3330.02,2024-10-05,Food & Dining
3494,BOOKMYSHOW POS TXN2265 73838 AUTH,4213.41,2024-02-14,Entertainment
1973,BPCL UPI TXN7855,2282.17,2024-01-16,Fuel
8209,HDFC LIFE UPI TXN8785 TRANS,2567.42,2024-10-14,Insurance
7238,PG Fee UPI TXN1745 72927 IMPS,4777.47,2024-06-05,Rent
6603,school fee neft txn2954 92563 NEFT,4245.87,2024-06-25,Education
3517,BookMyShow NEFT TXN9097,1870.67,2024-08-07,Entertainment
4550,Paytm Recharge UPI TXN6416 UPI,114.37,2024-04-28,Bills & Utilities
2318,IOCL PUMP NEFT TXN4723 79465 POS,4302.22,2024-07-27,Fuel
4591,AIRTEL UPI TXN3089 NEFT,3254.44,2024-08-02,Bills & Utilities
3259,BOOKMYSHOW NEFT TXN9567 69174,2881.91,2024-03-23,Entertainment
6430,UNACADEMY NEFT TXN8249,470.47,2024-03-06,Education
3503,BookMyShow NEFT TXN7979 26988,2359.41,2024-10-10,Entertainment
2004,Shell CARD TXN9233 TXN,3986.41,2024-04-29,Fuel
6284,makemytrip imps txn5281 79325,2521.82,2024-07-05,Travel
2734,AJIO NEFT TXN4279 TXN,777.02,2024-01-21,Shopping
7824,LANDLORD CARD TXN6637 POS,2614.19,2024-03-24,Rent
5375,Fortis Hospital NEFT TXN2991 92348,2728.3,2024-07-20,Healthcare
7987,Flat Rent CARD TXN8350 65795,4859.55,2024-01-03,Rent
798,Starbucks POS TXN2688 77273,2627.81,2024-08-27,Food & Dining
6201,REDBUS NEFT TXN4688 93959,176.21,2024-07-20,Travel
6685,College Fee POS TXN4900 35061,2416.34,2024-08-30,Education
2581,h&m pos txn6983 96194,4421.31,2024-01-25,Shopping
2582,MYNTRA IMPS TXN4774,2610.72,2024-08-10,Shopping
7481,Landlord POS TXN9521 70096,3227.25,2024-09-23,Rent
2521,MYNTRA NEFT TXN9205 69622,2480.3,2024-05-29,Shopping
3241,HOTSTAR CARD TXN2350 34255,193.58,2024-04-23,Entertainment
3562,BOOKMYSHOW NEFT TXN1899 43848,3779.24,2024-08-01,Entertainment
1351,SPENCER'S CARD TXN1144,870.28,2024-06-16,Groceries
7662,PG Fee CARD TXN4507,594.79,2024-09-16,Rent
5117,FORTIS HOSPITAL IMPS TXN2137 68836,953.69,2024-06-16,Healthcare
4496,tata power neft txn3355 13971,3459.26,2024-10-06,Bills & Utilities
9348,Account Transfer UPI TXN5930 POS,873.43,2024-09-05,Transfers
9339,neft transfer neft txn2850 47364,627.1,2024-04-29,Transfers
5165,fortis hospital imps txn4443,1248.27,2024-04-15,Healthcare
5066,Fortis Hospital IMPS TXN9443 TXN,881.35,2024-06-21,Healthcare
7045,COLLEGE FEE NEFT TXN3253 99271 UPI,933.79,2024-03-09,Education
2359,IOCL Pump UPI TXN3878 24974 AUTH,2694.8,2024-09-29,Fuel
9421,NEFT Transfer UPI TXN5154,2163.88,2024-03-31,Transfers
1628,indianoil pos txn6274 49660 TRANS,3540.58,2024-07-24,Fuel
4214,BSNL BILL CARD TXN4637 19632,3466.32,2024-03-25,Bills & Utilities
5102,MedPlus NEFT TXN8928 62281,3949.62,2024-04-14,Healthcare
744,strabucks card txn6396 32327,2473.69,2024-07-13,Food & Dining
8219,hdfc life upi txn3469 13732,1393.82,2024-08-07,Insurance
1977,HP Gas UPI TXN8126,3308.42,2024-06-17,Fuel
7018,Coursera IMPS TXN6960 65388,2826.11,2024-02-16,Education
2186,INDIANOIL NEFT TXN3578,3197.0,2024-05-31,Fuel
5587,1MG POS TXN7416 23218 TXN,2084.02,2024-06-06,Healthcare
228,Dominos UPI TXN9983 TRANS,3473.73,2024-03-17,Food & Dining
8923,ACCOUNT TRANSFER IMPS TXN4522 78075 AUTH,304.55,2024-09-01,Transfers
7069,School Fee CARD TXN2580 55808,1362.04,2024-04-03,Education
775,ZOMATO IMPS TXN8815 17997,133.02,2024-02-08,Food & Dining
9072,UPI to Friend NEFT TXN1376 UPI,2598.02,2024-04-25,Transfers
3661,Hotstar NEFT TXN1676 AUTH,3038.41,2024-02-05,Entertainment
200,Cafe Coffee Day CARD TXN1338 85699,4021.79,2024-07-13,Food & Dining
2856,AMAZON UPI TXN4025 IMPS,2855.88,2024-02-22,Shopping
7142,udemy pos txn9700 82031,4737.0,2024-05-19,Education
6734,udemy neft txn6197 46300 POS,4586.22,2024-04-27,Education
3797,Hotstar IMPS TXN6609 NEFT,2186.17,2024-04-03,Entertainment
4355,paytm recharge pos txn3349 81935,2095.14,2024-03-14,Bills & Utilities
6490,BYJUS POS TXN7167 86196 IMPS,859.74,2024-03-03,Education
6323,Uber NEFT TXN8389,919.84,2024-07-27,Travel
2132,HP GAS UPI TXN6752,4101.79,2024-07-07,Fuel
9056,IMPS IMPS TXN9063 96750 NEFT,3614.51,2024-05-16,Transfers
3839,BookMyShow CARD TXN2351 POS,1031.42,2024-09-22,Entertainment
8459,hdfc life imps txn8441,3374.15,2024-01-08,Insurance
2400,IOCL Pump UPI TXN9815 AUTH,4651.44,2024-05-05,Fuel
5777,uber pos txn9111,2564.48,2024-08-27,Travel
1191,NATURE'S BASKET POS TXN5640 80694,887.3,2024-05-10,Groceries
2519,Myntra UPI TXN4471 15656,2461.84,2024-05-12,Shopping
7542,landlord neft txn9585 39948 TXN,4893.18,2024-06-26,Rent
3188,zara pos txn2713 95354 TRANS,2047.35,2024-05-29,Shopping
212,Starbucks UPI TXN6579 18157,1698.57,2024-08-21,Food & Dining
9313,Money Sent IMPS TXN7206 78871,376.14,2024-04-30,Transfers
2032,Shell CARD TXN4615 TRANS,2399.05,2024-07-30,Fuel
6849,school fee card txn8516 74811,908.25,2024-05-31,Education
1429,BIG BAZAAR CARD TXN7456 POS,388.62,2024-07-18,Groceries
9103,IMPS UPI TXN4921,2499.71,2024-03-14,Transfers
4429,Water Bill IMPS TXN3308 37129 IMPS,1751.16,2024-08-24,Bills & Utilities
6833,College Fee UPI TXN9939,2622.58,2024-10-24,Education
6135,AIR INDIA NEFT TXN4528 36571,1879.06,2024-05-03,Travel
2139,HP Gas POS TXN7658 59870 POS,3380.11,2024-03-03,Fuel
6482,UNACADEMY CARD TXN2360 97436,2375.62,2024-03-03,Education
6400,IRCTC POS TXN5629 21184 IMPS,2728.38,2024-03-16,Travel
7783,rent payment card txn2977 93917,2928.42,2024-08-16,Rent
61,Cafe Coffee Day IMPS TXN3106,2274.64,2024-05-25,Food & Dining
2007,SHELL UPI TXN1777 36896 TXN,4380.57,2024-06-29,Fuel
8488,ICICI Prudential CARD TXN2139 TRANS,995.65,2024-06-17,Insurance
8788,HDFC Life IMPS TXN6040,1604.5,2024-03-09,Insurance
3438,SPOTIFY NEFT TXN3871 79667 UPI,2691.33,2024-07-29,Entertainment
7805,FLAT RENT CARD TXN8784 60842 UPI,4074.11,2024-02-19,Rent
3827,NETFLIX IMPS TXN8029,3943.29,2024-09-17,Entertainment
422,SUBWAY NEFT TXN7641 35984,708.56,2024-02-29,Food & Dining
5147,pathlab upi txn1841,4244.38,2024-04-21,Healthcare
5208,CureFit NEFT TXN2017 98811 TRANS,4546.53,2024-09-17,Healthcare
7186,Unacademy UPI TXN5774 80222 IMPS,652.87,2024-06-17,Education
1961,IndianOil IMPS TXN7414 39284,1757.27,2024-09-27,Fuel
6947,COLLEGE FEE IMPS TXN6034 59755 UPI,4202.51,2024-08-13,Education
4549,Tata Power POS TXN3791 19112,4458.39,2024-07-31,Bills & Utilities
6767,School Fee CARD TXN4525 78140 UPI,3558.56,2024-08-21,Education
6784,Coursera UPI TXN9063 43295 POS,2638.73,2024-02-29,Education
6740,Byjus CARD TXN4020 49711 UPI,4335.19,2024-07-09,Education
573,STARBUCKS UPI TXN3110 47217,3639.3,2024-07-31,Food & Dining
4733,Tata Power NEFT TXN9490 NEFT,4038.82,2024-07-11,Bills & Utilities
2525,Zara IMPS TXN4707,609.15,2024-08-09,Shopping
2642,amazn upi txn3617 auth,220.51,2024-07-16,Shopping
2989,MYNTRA NEFT TXN5113,1376.5,2024-05-20,Shopping
6850,UNACADEMY IMPS TXN9587 UPI,3897.16,2024-01-30,Education
3655,Hotstar CARD TXN2285 58660 POS,2939.01,2024-08-27,Entertainment
3477,netflixx pos txn3912 70717 neft,2993.74,2024-03-30,Entertainment
1035,Big Bazaar IMPS TXN8125 POS,4086.65,2024-07-20,Groceries
8067,PolicyBazaar UPI TXN2113,3886.11,2024-07-25,Insurance
9185,MONEY SENT UPI TXN3865,3859.09,2024-06-02,Transfers
7763,Landlord UPI TXN6359 42722,2693.5,2024-01-24,Rent
3803,BookMyShow NEFT TXN6946 IMPS,2487.59,2024-07-29,Entertainment
9581,IMPS CARD TXN6972 UPI,1733.03,2024-02-21,Transfers
4459,Electricity Board IMPS TXN7531 75588,3037.59,2024-10-15,Bills & Utilities
932,DMart CARD TXN2312 67312,323.88,2024-04-28,Groceries
